en	fr
Services running on the main server	Services exécutés sur le serveur principal
With the exception of the control of the thin clients, all services are initially set up on one central computer the main server). For performance reasons, the LTSP server s) should be separate though it is possible to install both the Main Server and LTSP Server profiles on the same machine). All services are allocated a dedicated DNS name and are offered exclusively over IPv4. The allocated DNS name makes it easy to move individual services from the main server to a different machine, by simply stopping the service on the main server, and changing the DNS configuration to point to the new location of the service which should be set up on that machine first, of course).	À l'exception du contrôle des clients légers, tous les services sont initialement configurés sur un ordinateur central le serveur principal). Pour des raisons de performances, le s) serveur s) LTSP devraient être sur une machine séparée bien qu'il soit possible d'installer à la fois les profils de serveur principal et de serveur LTSP sur la même machine). Tous les services se voient attribuer un nom DNS et ne sont disponibles que sur IPv4. Le nom DNS attribué permet de déplacer facilement chaque service du serveur central vers une autre machine, simplement en l'arrêtant sur le serveur principal et en changeant la configuration DNS de sorte que l'alias pointe vers la nouvelle machine sur laquelle il aura été préalablement installé, bien entendu).
To ensure security all connections where passwords are transmitted over the network are encrypted, so no passwords are sent over the network as plain text.	Pour des raisons de sécurité, toutes les connexions véhiculant des mots de passe sur le réseau sont chiffrées, de sorte qu'aucun mot de passe n'apparaît en clair sur le réseau.
Below is a table of the services that are set up by default in a Skolelinux network and the DNS name of each service. If possible all configuration files will refer to the service by name without the domain name) thus making it easy for schools to change either their domain if they have an own DNS domain) or the IP addresses they use.	L'ensemble des services configurés par défaut sur un réseau Skolelinux est présenté ci dessous avec le nom DNS associé. Tous les fichiers de configuration font, si possible, référence au service par son nom sans le nom de domaine), permettant ainsi aux écoles de changer facilement leur domaine si elles disposent de leur propre domaine DNS) ou leur adresse IP.
Table of services	Liste des services
Service description	Description du service
Domain Name Service	Service de noms de domaine
Automatic Network Configuration of Machines	Configuration réseau automatique des machines
Clock Synchronisation	Synchronisation de l'horloge
Home Directories via Network File System	Répertoires personnels sur un système de fichiers réseau
Directory Service	Service de répertoire
User Administration	Administration des utilisateurs
Web Server	Serveur web
Apache PHP	Apache et PHP
Web Cache	Cache web
Printing	Impression
Secure Remote Login	Connexion sécurisée à distance
Automatic Configuration	Configuration automatique
Machine and Service Surveillance with Error Reporting, plus Status and History on the Web. Error Reporting by email	Surveillance des machines et des services, avec rapport d'erreur, ainsi qu'état et historique sur le web. Rapport d'erreur par courrier électronique
Personal files for each user are stored in their home directories, which are made available by the server. Home directories are accessible from all machines, giving users access to the same files regardless of which machine they are using. The server is operating system agnostic, offering access via NFS for Unix clients and via SMB2 SMB3 for other clients.	Les fichiers personnels des utilisateurs sont enregistrés dans leur répertoire personnel, disponible sur le serveur. Les répertoires personnels sont accessibles depuis toutes les machines, donnant accès aux mêmes fichiers, quelle que soit la machine utilisée. Le serveur ignore le système d'exploitation en permettant l'accès grâce à NFS pour les clients UNIX et à l’aide de SMB2 SMB3 pour d’autres clients.
By default email is set up for local delivery i.e. within the school) only, though email delivery to the wider Internet may be set up if the school has a permanent Internet connection. Clients are set up to deliver mail to the server using smarthost'), and users can access their personal mail through IMAP.	Par défaut, le courrier électronique est configuré pour ne délivrer les messages que localement c'est à dire à l'intérieur de l'école), bien qu'il puisse être configuré pour délivrer le courrier sur Internet si l'établissement dispose d'une connexion permanente. Les clients sont configurés pour envoyer leur courrier au serveur en relais smarthost et les utilisateurs peuvent accéder à leur courrier personnel par IMAP.
All services are accessible using the same username and password, thanks to the central user database for authentication and authorisation.	Tous les services sont accessibles avec les mêmes nom d'utilisateur et mot de passe, grâce à la base de données d'utilisateurs centralisée gérant l'authentification et les autorisations.
To increase performance on frequently accessed sites a web proxy that caches files locally Squid) is used. In conjunction with blocking web traffic in the router this also enables control of Internet access on individual machines.	Pour des raisons de performance sur des sites contactés fréquemment, un mandataire Squid) met en cache local les fichiers correspondants. Associé au blocage du trafic web par le routeur, cela permet aussi le contrôle de l'accès à Internet sur chaque machine.
Network configuration on the clients is done automatically using DHCP. All types of clients can be connected to the private subnet and will get according IP addresses; LTSP clients should be connected to the corresponding LTSP server via the separate subnet this is to ensure that the network traffic of the LTSP clients doesn't interfere with the rest of the network services).	La configuration du réseau sur les clients est effectuée automatiquement à l'aide de DHCP. Tous les types de clients peuvent être connectés et recevoir une adresse IP appartenant au sous réseau privé tandis que les clients légers sont connectés à leur serveur de clients légers sur le sous réseau cela assure que le trafic réseau des clients légers n'interfère pas avec le reste des services du réseau).
Centralised logging is set up so that all machines send their syslog messages to the server. The syslog service is set up so that it only accepts incoming messages from the local network.	Le système de journal centralisé est configuré de sorte que toutes les machines envoient leur journal système syslog) au serveur. Seuls les messages provenant du réseau local sont acceptés.
Pupils and teachers have the ability to publish websites. The web server provides mechanisms for authenticating users, and for limiting access to individual pages and subdirectories to certain users and groups. Users will have the ability to create dynamic web pages, as the web server will be programmable on the server side.	Les élèves et les enseignants ont la possibilité de publier des sites web. Le serveur web fournit les mécanismes d'authentification des utilisateurs et de limitation de l'accès aux pages individuelles et sous répertoires à certains utilisateurs ou groupes. Les utilisateurs auront la possibilité de créer des pages web dynamiques, puisque le serveur web sera programmable.
Information on users and machines can be changed in one central location, and is made accessible to all computers on the network automatically. To achieve this a centralised directory server is set up. The directory will have information on users, user groups, machines and groups of machines. To avoid user confusion there won't be any difference between file groups and network groups. This implies that groups of machines which are to form network groups will use the same namespace as user groups.	Les informations concernant les utilisateurs et les machines peuvent être modifiées de manière centralisée et sont rendues accessibles automatiquement à tous les ordinateurs du réseau. Pour cela, un serveur de répertoire centralisé est mis en place. Le répertoire détiendra des informations sur les utilisateurs, les groupes d’utilisateurs, les machines et les groupes de machines. Afin de ne pas troubler les utilisateurs, il ne sera pas fait de distinction entre les groupes de fichiers et les groupes réseau. Cela implique que les groupes de machines qui devront constituer des groupes réseau aient le même espace de nommage que les groupes d'utilisateurs.
Administration of services and users will mainly be via the web, and follow established standards, functioning well in the web browsers which are part of Skolelinux. The delegation of certain tasks to individual users or user groups will be made possible by the administration systems.	L'administration des services et des utilisateurs se fera essentiellement par le web et respectera les standards établis, fonctionnant correctement avec les navigateurs web fournis dans Skolelinux. La délégation de certaines tâches à des utilisateurs individuels ou à des groupes d'utilisateurs sera possible par les systèmes d'administration.
In order to avoid certain problems with NFS, and to make it simpler to debug problems, the different machines need synchronised clocks. To achieve this the Skolelinux server is set up as a local Network Time Protocol NTP) server, and all workstations and clients are set up to synchronise with the server. The server itself should synchronise its clock via NTP against machines on the Internet, thus ensuring the whole network has the correct time.	Afin d'éviter certains problèmes avec NFS ou de simplifier la résolution de problèmes, les différentes machines doivent être synchronisées. Pour cela, le serveur Skolelinux est configuré en serveur local NTP Network Time Protocol) et toutes les stations de travail ainsi que tous les clients sont configurés pour être synchronisés avec le serveur. Le serveur lui même devrait se synchroniser par NTP à partir de machines sur Internet, assurant ainsi une heure correcte sur tout le réseau.
Printers are connected where convenient, either directly onto the main network, or connected to a server, workstation or LTSP server. Access to printers can be controlled for individual users according to the groups they belong to; this will be achieved by using quota and access control for printers.	Les imprimantes sont connectées où cela est le plus pratique, soit directement au réseau principal, soit à un serveur, une station de travail ou un serveur LTSP. L'accès aux imprimantes peut être contrôlé pour les utilisateurs en fonction des groupes auxquels ils appartiennent, par l'intermédiaire de quota et de contrôle d'accès aux imprimantes.
The LTSP servers are set up to receive syslog from thin clients and workstations, and forward these messages to the central syslog recipient.	Le serveur LTSP est configuré pour recevoir le journal système syslog) des clients légers et des stations de travail, et transmettre ces messages au destinataire central des journaux système.
LTSP diskless workstations are using the programs installed on the server.	Les stations de travail LTSP sans disque utilisent les programmes installés sur le serveur.
Thin clients	Clients légers
A thin client setup enables ordinary PCs to function as X )terminals. This means that the machine boots directly from the server using PXE without using the local client hard drive. The thin client setup now uses X2Go, because LTSP has dropped support.	La configuration en client léger permet aux PC ordinaires de fonctionner en terminaux X). Cela signifie que la machine s'amorce directement depuis le serveur à l'aide de PXE sans utiliser le disque dur local du client. La configuration de client léger utilise X2Go à cause de l’abandon de sa prise en charge par le projet Linux Terminal Server LTSP).
Thin clients are a good way to still make use of very old mostly bit) machines as they effectively run all programs on the LTSP server. This works as follows: the service uses DHCP and TFTP to connect to the network and boot from the network. Next, the file system is mounted from the LTSP server using NFS, and finally the X2Go client is started.	Les clients légers offrent un bon moyen de toujours utiliser des machines très anciennes majoritairement en bits), car elles lancent tous les programmes sur le serveur LTSP. Cela fonctionne ainsi le service utilise DHCP et TFTP pour se connecter au réseau et s'amorcer depuis celui ci. Ensuite, le système de fichiers est monté depuis le serveur LTSP avec NFS et enfin le client X2Go est démarré.
Diskless workstations	Stations de travail sans disque dur
A diskless workstation runs all software on the PC without a locally installed operating system. This means that client machines boot via PXE without running software installed on a local hard drive.	Une station de travail sans disque exécute tous les logiciels sur le PC sans système d'exploitation installé en local. Cela signifie que les machines clientes s'amorcent depuis PXE sans exécuter de logiciel installé sur le disque dur local.
Diskless workstations are an excellent way of using powerful hardware with the same low maintenance cost as with thin clients. Software is administered and maintained on the server with no need for local installed software on the clients. Home directories and system settings are stored on the server too.	Les stations de travail sans disque dur sont une excellente façon d’utiliser du matériel puissant avec le même coût réduit de maintenance que les clients légers. Le logiciel est administré et maintenu sur le serveur sans besoin d'installer des logiciels localement sur le client. Les répertoires personnels et les réglages du système sont eux aussi enregistrés sur le serveur.
Networked clients	Clients en réseau
All the Linux machines that are installed with the Skolelinux installer will be administrable from a central computer, most likely the server. It will be possible to log in to all machines via SSH, and thereby have full access to the machines. As root one needs to run kinit first to get a Kerberos TGT.	Toutes les machines Linux installées avec l'installateur Skolelinux seront administrables depuis un ordinateur central, très probablement le serveur. Il sera possible de se connecter à toutes les machines par SSH et donc d'avoir un accès complet à celles ci. Il faut, en tant que superutilisateur, d'abord exécuter kinit pour obtenir un ticket Kerberos.
All user information is kept in an LDAP directory. Updates of user accounts are made against this database, which is used by the clients for user authentication.	Toutes les informations sur les utilisateurs sont conservées dans un répertoire LDAP. Les comptes des utilisateurs sont mis à jour à partir de cette base de données qui est utilisée par les clients pour authentifier les utilisateurs.
Currently there are two kinds of installation media images: netinst and BD. Both images can also be booted from USB sticks.	Deux types de supports d'installation sont actuellement disponibles l'image d'installation par le réseau et l'image BD Block Device). Ces deux images peuvent également être amorcées à partir de clés USB.
The aim is to be able to install a server from any type of medium once, and install all other clients over the network by booting from the network.	L'objectif est de pouvoir installer un serveur à partir de n’importe quel support une seule fois, et d'installer tous les autres postes clients par le réseau en amorçant à partir de ce dernier.
Only the netinstall image needs access to the Internet during installation.	Seule l'image d'installation par le réseau nécessite un accès Internet pendant l'installation.
The installation should not ask any questions, with the exception of desired language, location, keyboard layout and machine profile Main Server, Workstation, LTSP Server, All other configuration will be set up automatically with reasonable values, to be changed from a central location by the system administrator subsequent to the installation.	L'installation ne devrait pas poser de questions, à l'exception de la langue, de la régionalisation, de la disposition du clavier et du profil de la machine serveur principal, station de travail, serveur LTSP…). Toute autre configuration sera effectuée automatiquement avec des valeurs raisonnables, modifiables de manière centralisée par l'administrateur système après la fin de l'installation.
File system access configuration	Configuration de l'accès au système de fichiers
To enable shared access to files under the normal UNIX permissions system, users need to be in supplementary shared groups such as students as well as the personal primary group that they're in by default. If users have an appropriate umask to make newly created items group accessible or and if the directories they're working in are setgid to ensure the files inherit the correct group ownership, the result is controlled file sharing between the members of a group.	Pour permettre l'accès partagé aux fichiers dans le système normal de permissions UNIX, les utilisateurs ont besoin d'être dans des groupes d'utilisateurs supplémentaires tels que students en plus du groupe primaire personnel dans lequel ils sont par défaut. Si des utilisateurs ont un umask approprié pour rendre les éléments nouvellement créés accessibles au groupe ou et si les répertoires dans lesquels ils travaillent ont le paramètre setgid assurant que les fichiers héritent de l'appartenance au bon groupe, alors le partage de fichiers entre les membres d'un groupe est contrôlé.
The initial access settings for newly created files are a matter of policy. The Debian default umask is which would not allow group access as described above), but Debian Edu uses a default of meaning that files are created with read access for everybody, which can later be removed by explicit user action. This can alternatively be changed by editing etc pam.d common session) to a umask of meaning read access is initially blocked, necessitating user action to make them accessible. The first approach encourages knowledge sharing, and makes the system more transparent, whereas the second method decreases the risk of unwanted spreading of sensitive information. The problem with the first solution is that it is not apparent to the users that the material they create will be accessible to all other users. They can only detect this by inspecting other users' directories and seeing that their files are readable. The problem with the second solution is that few people are likely to make their files accessible, even if they do not contain sensitive information and the content would be helpful to inquisitive users who want to learn how others have solved particular problems typically configuration issues).	L'attribution des droits d'accès initiaux pour les fichiers nouvellement créés est un problème de droits. L'umask par défaut de Debian est ne donnant pas l'accès au groupe tel que décrit précédemment), mais Debian Edu utilise par défaut, signifiant que les fichiers sont créés avec accès en lecture pour tout le monde, sauf modification ultérieure de l'utilisateur. Ce réglage peut être modifié en éditant etc pam.d common session) pour un umask de bloquant par défaut l'accès en lecture et nécessitant une action de l'utilisateur pour rendre les fichiers accessibles. La première approche encourage le partage des connaissances et rend le système plus transparent, tandis que la seconde méthode réduit le risque de divulgation involontaire d'informations sensibles. Le problème de la première solution est qu'il n'est pas évident pour les utilisateurs que ce qu'ils créent sera accessible à tous les autres. Ils ne peuvent s'en rendre compte qu'en inspectant le contenu du répertoire des autres utilisateurs et en s'apercevant que leurs fichiers sont lisibles. Le problème de la deuxième solution est que peu d'utilisateurs seront enclins à rendre leurs fichiers accessibles, même s'ils ne contiennent pas d'informations sensibles et même si leur contenu peut s'avérer utile aux utilisateurs curieux, désireux d'apprendre comment d'autres ont résolu des problèmes particuliers typiquement des problèmes de configuration).
There are different ways of setting up a Skolelinux solution. It can be installed on just one standalone PC, or as a region wide solution at many schools operated centrally. This flexibility makes a huge difference to the configuration of network components, servers and client machines.	Il existe différentes manières de configurer une solution Skolelinux. Elle peut être installée sur un simple PC autonome ou déployée à grande échelle sur un ensemble d'écoles pilotées de manière centralisée. Cette flexibilité induit de grosses différences dans la configuration des composants réseau, serveurs et machines clientes.
The purpose of the different profiles is explained in the network architecture chapter.	La signification des différents profils est expliquée dans le chapitre architecture réseau.
If LTSP is intended to be used, take a look at the LTSP Hardware Requirements wiki page.	S'il est prévu d'utiliser LTSP, jetez un œil sur la page du wiki sur les besoins matériels de LTSP.
The computers running Debian Edu Skolelinux must have either bit Debian architecture i386', oldest supported processors are class ones) or bit Debian architecture amd64') x86 processors.	Les ordinateurs exécutant Debian Edu Skolelinux doivent avoir des processeurs x86 à bits architecture Debian i386 les processeurs les plus anciens pris en charge sont les classes ou bits architecture Debian amd64
Thin clients with only MiB RAM and MHz are possible, though more RAM and faster processors are recommended.	Faire fonctionner des clients légers avec Mio de mémoire vive et une fréquence de MHz est possible. Cependant, plus de mémoire vive et un processeur plus puissant sont recommandés.
For workstations, diskless workstations and standalone systems, MHz and MiB RAM are the absolute minimum requirements. For running modern webbrowsers and LibreOffice at least MiB RAM is recommended.	Pour les stations de travail avec ou sans disque) ainsi que les systèmes autonomes, Mio de mémoire vive et une fréquence de processeur de MHz ou plus sont le strict minimum nécessaire. Pour faire fonctionner un navigateur web moderne et LibreOffice, disposer d'au moins Mio de mémoire vive est recommandé.
combined main server LTSP server workstation if a GUI on the server is desired): GiB plus additional space for user accounts).	serveur principal serveur LTSP stations de travail si une interface graphique pour le serveur est désirée) Gio plus un espace supplémentaire pour les comptes d'utilisateurs)
workstation or standalone: GiB.	station de travail ou poste autonome Gio
minimal networked machine installation: GiB.	installation minimale d’une machine sur le réseau Gio.
LTSP servers need two network cards when using the default network architecture:	Les serveurs LTSP ont besoin de deux cartes réseau lorsque l'architecture de réseau par défaut est utilisée
eth0 is connected to the main network	eth0 est reliée au réseau principal
eth1 is used for serving LTSP clients.	eth1 est utilisée pour servir les clients LTSP.
Laptops are movable workstations, so they have the same requirements as workstations.	Les ordinateurs portables sont des stations de travail mobiles et ont donc les mêmes spécifications que les stations de travail.
Hardware known to work	Matériel compatible connu
is an effort to document how to install, configure and use Debian on some specific hardware, allowing potential buyers to know if that hardware is supported and existing owners to know how get the best out of that hardware.	est une tentative de documenter l'installation, la configuration et l'utilisation de Debian sur des matériels spécifiques. Ainsi, des acheteurs potentiels de matériel informatique sauront si leur matériel est pris en charge et comment tirer les meilleures performances de leur achat.
Requirements for network setup	Besoins pour une configuration du réseau
Default Setup	Configuration par défaut
When using the default network architecture, these rules apply:	Quand on utilise l'architecture réseau par défaut, les règles suivantes s'appliquent
You can have hundreds of workstations on the main network.	Vous pouvez avoir des centaines de stations de travail sur le réseau principal.
Internet router	Routeur Internet
A router gateway, connected to the Internet on the external interface and running on the IP address with netmask on the internal interface, is needed to connect to the Internet.	Un routeur passerelle, connecté à Internet sur l'interface externe et doté de l'adresse IP avec un masque de sous réseau sur l'interface interne est nécessaire pour se connecter à Internet.
The router should not run a DHCP server, it can run a DNS server, though this is not needed and will not be used.	Le routeur ne doit pas exécuter de serveur DHCP. Il peut exécuter un serveur DNS bien que cela ne soit pas nécessaire ni utilisé.
If you need something for an embedded router or accesspoint we recommend using OpenWRT, though of course you can also use the original firmware. Using the original firmware is easier; using OpenWRT gives you more choices and control. Check the OpenWRT webpages for a list of supported hardware.	Si vous avez des besoins concernant un routeur embarqué ou un point d'accès, nous vous recommandons d'utiliser OpenWRT bien que vous puissiez bien sûr aussi utiliser le microprogramme initial. L'utilisation du microprogramme initial est plus simple, alors que celle de OpenWRT vous offre plus de choix et de contrôle sur le système. Consultez la liste du matériel géré sur les pages web de OpenWRT.
It is possible to use a different network setup there is a documented procedure to do this), but if you are not forced to do this by an existing network infrastructure, we recommend against doing so and recommend you stay with the default network architecture.	Il est possible d'utiliser une configuration réseau différente il existe une procédure documentée pour faire cela. Si vous n'y êtes pas obligé par une infrastructure réseau existante, nous vous le déconseillons et vous recommandons de conserver l'architecture réseau par défaut.
Installation and download options	Options de téléchargement et d'installation
We recommend that you read or at least take a look at the release notes for Debian Bookworm before you start installing a system for production use. There is more information about the Debian Bookworm release available in its installation manual.	Nous vous recommandons de lire ou au moins de jeter un œil aux notes de publication de Debian Bookworm avant de commencer à installer un système en production. Davantage d'informations sur Debian Bookworm sont disponibles dans son manuel d'installation.
It is recommended, though, to read the chapters about hardware and network requirements and about the architecture before starting to install a main server.	Il est recommandé malgré tout de lire les chapitres sur besoins matériels et sur l'architecture avant de commencer à installer un serveur principal.
Be sure to also read the getting started chapter of this manual, as it explains how to log in for the first time.	Assurez vous d'avoir aussi lu le chapitre Démarrage rapide du manuel, car il explique comment lancer une session pour la première fois.
Download the installation media for Debian Edu Codename bookworm	Téléchargement d'un média d'installation pour Debian Edu nom de code Bookworm
Once Bookworm has been released these images will be available for download from:	Lorsque Bookworm aura été publiée, ces images seront disponibles au téléchargement à partir de
BD iso images for amd64 or i386	Images ISO BD pour amd64 ou i386
Verification of downloaded image files	Vérification des fichiers image téléchargés
Detailed instructions for verifying and using these images are part of the Debian CD FAQ.	Des instructions détaillées pour vérifier et utiliser ces images font partie de la FAQ de Debian CD.
Sources are available from the Debian archive at the usual locations, several media are linked on	Le code source est disponible depuis l'archive Debian aux emplacements habituels.Un lien existe pour plusieurs supports à l'adresse
When you do a Debian Edu installation, you have a few options to choose from. Don't be afraid; there aren't many. We have done a good job of hiding the complexity of Debian during the installation and beyond. However, Debian Edu is Debian, and if you want there are more than packages to choose from and a billion configuration options. For the majority of our users, our defaults should be fine. Please note: if LTSP is intended to be used, choose a lightweight desktop environment.	Lors de l'installation de Debian Edu, vous devez faire quelques choix. Mais n'ayez pas peur, il y en a peu. Nous nous sommes attachés à cacher la complexité de Debian durant l'installation et au delà. Cependant, Debian Edu est une distribution Debian et si vous le voulez, vous pouvez choisir parmi plus de paquets et un milliard d'options de configuration. Mais nos choix par défaut conviendront à la plupart des utilisateurs. Veuillez noter si vous avez l'intention d'utiliser LTSP, choisissez un environnement de bureau léger.
Main server installation scenarios	Cas de figure d'installation de serveur principal
Installation of a main server is possible, but after reboot there will be no Internet access due to primary network interface IP	L'installation d'un serveur principal est possible, mais après le redémarrage il n'y aura pas d'accès à Internet à cause de l'interface IP du réseau primaire).
See the Internet router chapter for details how to set up a gateway if it is not possible to configure an existing one as needed.	Consultez le chapitre routeur Internet pour des détails sur la mise en place d'une passerelle s'il n'est pas possible d'en configurer une comme il faut.
The main server should have Internet connection once booted the first time in the correct environment.	Le serveur principal devrait bénéficier d'une connexion Internet une fois qu'il est lancé pour la première fois dans un environnement correct.
Add debian edu expert' to the kernel command line; see further below for details how this is done.	Ajout de debian edu expert à la ligne de commande du noyau voir plus bas comment le faire.
As soon as the automatic network configuration fails due to missing DHCP), choose manual network configuration.	Dès que la configuration automatique du réseau échoue à cause de l'absence de DHCP), choisissez la configuration manuelle de réseau.
Enter as host IP	Entrez comme IP de l'hôte
Enter as gateway IP	Entrez comme IP de la passerelle
The main server should just work after the first boot.	Le serveur principal devrait fonctionner après le premier démarrage.
Offline no Internet connection):	Hors ligne pas de connexion Internet)
Update the system once bootet the first time in the correct environment with Internet access.	Mettez à jour le système une fois qu'il est lancé pour la première fois dans un environnement correct avec un accès Internet.
Desktop environments	Environnements de bureau
Several desktop environments are available:	Plusieurs environnements de bureau sont disponibles
KDE and GNOME both have good language support, but too big a footprint for both older computers and for LTSP clients.	KDE et GNOME bénéficient d'une bonne prise en charge linguistique, mais ont une empreinte trop forte à la fois pour les ordinateurs les plus anciens et les clients LTSP.
Cinnamon is a lighter alternative to GNOME.	Cinnamon est une alternative plus légère à GNOME.
MATE is lighter than the three above, but is missing good language support for several countries.	MATE est plus léger que les trois précédents, mais manque d'une prise en charge linguistique satisfaisante pour plusieurs pays.
LXDE has the smallest footprint and supports languages.	LXDE a l'empreinte la plus légère et prend en compte langues.
LXQt is a lightweight desktop environment language support similar to LXDE) with a more modern look and feel based on Qt just like KDE).	LXQt est un environnement de bureau léger prise en charge linguistique similaire à LXDE) avec un style plus moderne basé sur Qt comme KDE).
Debian Edu as an international project has chosen to use Xfce as the default desktop environment; see below how to set a different one.	Debian Edu, en tant que projet international a choisi d'utiliser Xfce comme environnement de bureau par défaut voir plus loin comment en configurer un autre.
Modular installation	Installation modulaire
